,inv_5 cp_4,inv_6 cp_4,inv_7 cp_4,inv_8 cp_4,inv_6 cp_5,inv_7 cp_5,inv_8 cp_5,inv_9 cp_5,inv_10 cp_5,inv_7 cp_6,inv_8 cp_6,inv_9 cp_6,inv_10 cp_6,inv_11 cp_6,inv_12 cp_6,inv_8 cp_7,inv_9 cp_7,inv_10 cp_7,inv_11 cp_7,inv_12 cp_7,inv_13 cp_7,inv_14 cp_7,inv_9 cp_8,inv_10 cp_8,inv_11 cp_8,inv_12 cp_8,inv_13 cp_8,inv_14 cp_8,inv_15 cp_8,inv_16 cp_8,inv_10 cp_9,inv_11 cp_9,inv_12 cp_9,inv_13 cp_9,inv_14 cp_9,inv_15 cp_9,inv_16 cp_9,inv_17 cp_9,inv_18 cp_9,inv_11 cp_10,inv_12 cp_10,inv_13 cp_10,inv_14 cp_10,inv_15 cp_10,inv_16 cp_10,inv_17 cp_10,inv_18 cp_10,inv_19 cp_10,inv_20 cp_10
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,63,63.0,60.0,62.0,65,65,64,65,65,65.0,63,,65,65,65,65,65,64,63,63
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,65.0,65.0,64.0,64,64,64,65,64,65.0,65,,63,64,64,65,65,64,64,63
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,56.0,65.0,65.0,62,60,65,65,65,63.0,64,,64,64,63,64,63,64,63,65
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,65.0,64.0,65,65,65,65,62,65.0,64,,64,64,65,64,64,61,62,63
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,65.0,61.0,64,64,64,65,65,64.0,60,,63,63,65,64,63,65,65,63
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,60.0,63.0,61,64,65,65,62,65.0,65,,65,63,65,63,65,64,65,63
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,63.0,65.0,64,64,65,64,63,64.0,63,,62,64,64,65,63,65,63,64
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,63.0,63.0,65,64,65,65,63,61.0,63,,64,64,64,64,63,64,64,65
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,58.0,64.0,65,62,64,63,65,64.0,65,,64,64,64,64,64,64,65,64
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,57.0,59,65,62,65,64,63.0,60,,64,64,65,64,64,64,63,64
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,62,65,65,64,65,65.0,65,,65,65,65,63,64,64,63,64
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,65,65,65,63,65,65.0,64,,64,65,65,64,65,65,64,65
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,64,63,64,64,65,65.0,65,,65,65,64,64,65,65,64,65
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,63,65,65,65,64,58.0,65,,63,63,64,64,63,63,64,65
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,64,61,64,65,65,,65,,62,64,64,65,65,63,63,64
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,64,60,65,65,65,,64,,63,65,64,64,65,64,63,65
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,65,64,64,64,65,,62,,63,65,65,64,65,64,65,65
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,64,64,65,63,63,,64,,65,64,65,64,64,64,65,63
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,64,64,62,65,65,,65,,64,65,63,64,65,62,65,65
